序号,单词,音标,词性,中文释义,学段分类,场景归属
1547,lightning,-,n./v.,闪电/闪电般的，极快的,中考考纲词汇,07_自然生态与天气动植物
1548,limb,-,n.,肢；树枝,中考考纲词汇,07_自然生态与天气动植物
1549,lime,-,n.,石灰,中考考纲词汇,08_职业工作与社会科技
1550,limit,-,n./v.,限度；界限/限制，限定,中考考纲词汇,09_核心行为与动作动词
1551,linen,-,n.,亚麻布；亚麻织品,中考考纲词汇,08_职业工作与社会科技
1552,liner,-,n.,邮轮；客轮,中考考纲词汇,06_交通出行与地理旅游
1553,linger,-,v.,逗留；流连；继续存留,中考考纲词汇,09_核心行为与动作动词
1554,linguistics,-,n.,语言学,中考考纲词汇,08_职业工作与社会科技
1555,lip,-,n.,嘴唇；（洞口、伤口等的）边缘,中考考纲词汇,03_饮食烹饪与健康医疗
1556,liquid,-,n./adj.,液体；液体的,中考考纲词汇,10_情感态度与性质修饰
1557,liquor,-,n.,烈性酒,中考考纲词汇,08_职业工作与社会科技
1558,list,-,n./v.,一览表；目录。列举；把...列表,中考考纲词汇,09_核心行为与动作动词
1559,literate,-,adj.,有读写能力的,中考考纲词汇,10_情感态度与性质修饰
1560,literature,-,n.,文学；文学作品；文献,中考考纲词汇,02_学校教育与学科学习
1561,lithosphere,-,n.,岩石圈,中考考纲词汇,08_职业工作与社会科技
1562,litter,-,n./v.,垃圾；废弃物；乱丢东西,中考考纲词汇,05_居家生活与服装购物
1563,lively,-,adj.,活泼的；活跃的；栩栩如生的,中考考纲词汇,10_情感态度与性质修饰
1564,liver,-,n.,肝脏,中考考纲词汇,08_职业工作与社会科技
1565,livestock,-,n.,家畜,中考考纲词汇,05_居家生活与服装购物
1566,living room,-,n.,客厅、起居室,中考考纲词汇,05_居家生活与服装购物
1567,load,-,v./n.,装载；装满/负荷；大量,中考考纲词汇,09_核心行为与动作动词
1568,loaf,-,n./v.,一条（面包）/游荡、闲逛,中考考纲词汇,03_饮食烹饪与健康医疗
1569,lobby,-,n./v.,大厅；前厅；游说/游说,中考考纲词汇,06_交通出行与地理旅游
1570,local,-,adj./n.,当地的；本地人,中考考纲词汇,01_个人家庭与人际交往
1571,locate,-,v.,放置；建立；找到,中考考纲词汇,09_核心行为与动作动词
1572,locomotive,-,n.,火车头；机车,中考考纲词汇,03_饮食烹饪与健康医疗
1573,lodge,-,v./n.,租住/小屋；度假屋,中考考纲词汇,06_交通出行与地理旅游
1574,log,-,n.,原木；日志,中考考纲词汇,07_自然生态与天气动植物
1575,logic,-,n.,逻辑学；逻辑,中考考纲词汇,08_职业工作与社会科技
1576,logistics,-,n.,物流；后勤,中考考纲词汇,06_交通出行与地理旅游
1577,logo,-,n.,标识；徽标,中考考纲词汇,08_职业工作与社会科技
1578,logogram,-,n.,语标，缩记符（如& 、@等） ;非字母语言的字符,中考考纲词汇,08_职业工作与社会科技
1579,longitude,-,n.,经度,中考考纲词汇,08_职业工作与社会科技
1580,loom,-,v./n.,（庞然大物或形状模糊之物）隐现；逼近/织布机,中考考纲词汇,09_核心行为与动作动词
1581,loosen,-,v.,解开，松开，放宽,中考考纲词汇,09_核心行为与动作动词
1582,lord,-,n.,（英国）贵族；Lord 阁下；大人；the Lord 上帝,中考考纲词汇,05_居家生活与服装购物
1583,lorry,-,n.,[英]卡车,中考考纲词汇,06_交通出行与地理旅游
1584,loss,-,n.,遗失；损失；亏损,中考考纲词汇,08_职业工作与社会科技
1585,lotion,-,n.,洁肤乳；润肤乳,中考考纲词汇,08_职业工作与社会科技
1586,loudspeaker,-,n.,扬声器；喇叭,中考考纲词汇,08_职业工作与社会科技
1587,lovely,-,adj.,可爱的；令人愉快的,中考考纲词汇,01_个人家庭与人际交往
1588,lover,-,n.,爱好者；（婚外的）情人,中考考纲词汇,04_文体娱乐与节庆风俗
1589,lubricate,-,v.,润滑；加润滑油于,中考考纲词汇,03_饮食烹饪与健康医疗
1590,luggage,-,n.,行李,中考考纲词汇,06_交通出行与地理旅游
1591,lull,-,n./v.,暂停；暂时平静期/使昏昏欲睡,中考考纲词汇,09_核心行为与动作动词
1592,lumber,-,n.,木材；木料,中考考纲词汇,07_自然生态与天气动植物
1593,lump,-,n./v.,块；肿块/使成块状,中考考纲词汇,09_核心行为与动作动词
1594,lunar,-,adj.,月亮的；月球的,中考考纲词汇,04_文体娱乐与节庆风俗
1595,lung,-,n.,肺,中考考纲词汇,08_职业工作与社会科技
1596,luxury,-,n.,奢侈；奢侈品,中考考纲词汇,08_职业工作与社会科技
1597,lyric,-,n./adj.,抒情诗；抒情的,中考考纲词汇,10_情感态度与性质修饰
1598,mad,-,adj.,发疯的；恼火的,中考考纲词汇,10_情感态度与性质修饰
1599,madam,-,n.,夫人；女士；[英]自以为是的小姑娘,中考考纲词汇,01_个人家庭与人际交往
1600,magazine,-,n.,杂志；期刊；弹夹,中考考纲词汇,08_职业工作与社会科技
1601,magic,-,n.,魔术；魔法,中考考纲词汇,08_职业工作与社会科技
1602,magma,-,n.,岩浆,中考考纲词汇,08_职业工作与社会科技
1603,magnet,-,n.,磁铁；吸铁石,中考考纲词汇,08_职业工作与社会科技
1604,magnificent,-,adj.,壮丽的；宏伟的；令人印象深刻的,中考考纲词汇,07_自然生态与天气动植物
1605,magnify,-,v.,放大；夸大,中考考纲词汇,09_核心行为与动作动词
1606,maid,-,n.,女佣，女仆，少女,中考考纲词汇,08_职业工作与社会科技
1607,maiden,-,n.,少女，姑娘,中考考纲词汇,08_职业工作与社会科技
1608,mail,-,n./v.,邮件；邮包；邮政/邮寄,中考考纲词汇,06_交通出行与地理旅游
1609,mainland,-,n.,大陆，本土,中考考纲词汇,08_职业工作与社会科技
1610,maintain,-,v.,维持；维修；坚称,中考考纲词汇,09_核心行为与动作动词
1611,majesty,-,n.,威严；壮观；陛下,中考考纲词汇,08_职业工作与社会科技
1612,major,-,n./v./adj.,[美]主修科目；专业。主修。主要的,中考考纲词汇,02_学校教育与学科学习
1613,make-up,-,n.,化妆品；组成成分；性格,中考考纲词汇,05_居家生活与服装购物
1614,malfunction,-,v.,发生故障,中考考纲词汇,09_核心行为与动作动词
1615,mall,-,n.,购物中心,中考考纲词汇,08_职业工作与社会科技
1616,mammal,-,n.,哺乳动物,中考考纲词汇,07_自然生态与天气动植物
1617,manage,-,v.,管理；设法做到,中考考纲词汇,09_核心行为与动作动词
1618,manager,-,n.,经理，管理人,中考考纲词汇,01_个人家庭与人际交往
1619,mandatory,-,adj.,法定的；强制的,中考考纲词汇,10_情感态度与性质修饰
1620,maneuver,-,n.,策略；技巧；[~s]军事演习,中考考纲词汇,08_职业工作与社会科技
1621,manifest,-,v.,显示；表明,中考考纲词汇,09_核心行为与动作动词
1622,manipulate,-,v.,（熟练的）操作；操纵,中考考纲词汇,09_核心行为与动作动词
1623,mankind,-,n.,人类；男人,中考考纲词汇,01_个人家庭与人际交往
1624,manly,-,adj.,有男子气概的；果断的,中考考纲词汇,10_情感态度与性质修饰
1625,manner,-,n.,举止；礼貌；风俗；方式,中考考纲词汇,04_文体娱乐与节庆风俗
1626,mansion,-,n.,宅第；公馆,中考考纲词汇,08_职业工作与社会科技
1627,mantle,-,n./v.,地幔；斗篷；披风；覆盖,中考考纲词汇,07_自然生态与天气动植物
1628,manual,-,n.,使用手册；指南；手工的,中考考纲词汇,03_饮食烹饪与健康医疗
1629,marathon,-,n.,马拉松,中考考纲词汇,07_自然生态与天气动植物
1630,marble,-,n.,大理石,中考考纲词汇,08_职业工作与社会科技
1631,margin,-,n.,边缘；页边空白；余地,中考考纲词汇,08_职业工作与社会科技
1632,marine,-,adj./n.,海洋的；海生的；海事的/水兵,中考考纲词汇,03_饮食烹饪与健康医疗
1633,maritime,-,adj.,海的，海上的，海事的,中考考纲词汇,10_情感态度与性质修饰
1634,mark,-,n./v.,分数；标记；标志着；给...打分；在...上做记号,中考考纲词汇,02_学校教育与学科学习
1635,market,-,n.,市场；市场需求,中考考纲词汇,05_居家生活与服装购物
1636,marketing,-,n.,市场营销,中考考纲词汇,05_居家生活与服装购物
1637,marry,-,v.,娶，嫁，结婚,中考考纲词汇,01_个人家庭与人际交往
1638,marvel,-,v./n.,感到惊讶，大为赞叹/奇迹,中考考纲词汇,09_核心行为与动作动词
1639,marxism,-,n.,马克思主义,中考考纲词汇,07_自然生态与天气动植物
1640,mason,-,n.,石匠；泥瓦匠,中考考纲词汇,08_职业工作与社会科技
1641,masquerade,-,n./v.,化装舞会；化妆；假扮,中考考纲词汇,09_核心行为与动作动词
1642,massacre,-,n./v.,残杀。屠杀,中考考纲词汇,09_核心行为与动作动词
1643,massive,-,adj.,巨大的；大规模的；庞大的,中考考纲词汇,10_情感态度与性质修饰
1644,master,-,n./v.,硕士；大师。精通；控制,中考考纲词汇,09_核心行为与动作动词
1645,mat,-,n.,地垫,中考考纲词汇,08_职业工作与社会科技
1646,match,-,n./v.,火柴；比赛；匹配的人或物；与...匹配,中考考纲词汇,04_文体娱乐与节庆风俗
1647,mate,-,n.,伙伴；[构成复合词]同伴,中考考纲词汇,01_个人家庭与人际交往
1648,material,-,n./adj.,材料；原料；人才；物质的,中考考纲词汇,01_个人家庭与人际交往
1649,materialism,-,n.,唯物主义；唯物论,中考考纲词汇,08_职业工作与社会科技
1650,maths,-,n.,数学,中考考纲词汇,02_学校教育与学科学习
1651,matriculation,-,n.,注册入大学,中考考纲词汇,02_学校教育与学科学习
1652,matrix,-,n.,矩阵；铸模,中考考纲词汇,08_职业工作与社会科技
1653,matter,-,n./v.,事情；物质/要紧,中考考纲词汇,09_核心行为与动作动词
1654,mattress,-,n.,床垫,中考考纲词汇,05_居家生活与服装购物
1655,mature,-,adj./v.,成熟的；成熟,中考考纲词汇,09_核心行为与动作动词
1656,maximal,-,adj.,最大的,中考考纲词汇,10_情感态度与性质修饰
1657,maximum,-,n.,最大值；最大限度,中考考纲词汇,08_职业工作与社会科技
1658,mayor,-,n.,市长,中考考纲词汇,08_职业工作与社会科技
1659,meadow,-,n.,草地；牧草,中考考纲词汇,07_自然生态与天气动植物
1660,mean,-,adj./v.,卑鄙的；吝啬的/意思是,中考考纲词汇,09_核心行为与动作动词
1661,meantime,-,n.,[in the ~]其间；同时/[for the ~]眼下；暂时,中考考纲词汇,03_饮食烹饪与健康医疗
1662,meanwhile,-,adv.,同时；其间,中考考纲词汇,09_核心行为与动作动词
1663,measure,-,v./n.,测量；衡量；措施,中考考纲词汇,09_核心行为与动作动词
1664,mechanic,-,n.,技工；机械师；机修工,中考考纲词汇,08_职业工作与社会科技
1665,mechanics,-,n.,力学；机械学,中考考纲词汇,08_职业工作与社会科技
1666,mechanism,-,n.,机制；构造,中考考纲词汇,08_职业工作与社会科技
1667,medal,-,n.,勋章，奖章,中考考纲词汇,08_职业工作与社会科技
1668,mediate,-,v.,斡旋；调解,中考考纲词汇,09_核心行为与动作动词
1669,medical,-,adj.,医学的；医疗的,中考考纲词汇,10_情感态度与性质修饰
1670,medicine,-,n.,药；医学,中考考纲词汇,03_饮食烹饪与健康医疗
1671,medieval,-,adj.,中世纪的；守旧的,中考考纲词汇,10_情感态度与性质修饰
1672,mediterranean,-,adj./n.,地中海的；地中海地区的；地中海；地中海地区,中考考纲词汇,10_情感态度与性质修饰
1673,medium,-,n./adj.,媒介；中间的；中等的,中考考纲词汇,10_情感态度与性质修饰
1674,meeting,-,n.,会议；会面,中考考纲词汇,08_职业工作与社会科技
1675,melody,-,n.,乐曲；旋律,中考考纲词汇,04_文体娱乐与节庆风俗
1676,melon,-,n.,瓜、甜瓜,中考考纲词汇,03_饮食烹饪与健康医疗
1677,melt,-,v.,（使）融/熔化,中考考纲词汇,09_核心行为与动作动词
1678,meltdown,-,n.,堆芯熔毁；崩溃,中考考纲词汇,08_职业工作与社会科技
1679,member,-,n.,成员；会员,中考考纲词汇,08_职业工作与社会科技
1680,memorandum,-,n.,备忘录；建议书；=memo,中考考纲词汇,02_学校教育与学科学习
1681,memorial,-,n./adj.,纪念碑/纪念的；悼念的,中考考纲词汇,10_情感态度与性质修饰
1682,mend,-,v.,修理；（使）康复,中考考纲词汇,03_饮食烹饪与健康医疗
1683,mental,-,adj.,精神的；思想上的；智力的,中考考纲词汇,02_学校教育与学科学习
1684,mention,-,v./n.,提及；说起,中考考纲词汇,09_核心行为与动作动词
1685,mentor,-,n.,导师；顾问,中考考纲词汇,08_职业工作与社会科技
1686,menu,-,n.,菜单,中考考纲词汇,08_职业工作与社会科技
1687,merchandise,-,n.,商品,中考考纲词汇,08_职业工作与社会科技
1688,merchant,-,n./adj.,商人/商业的,中考考纲词汇,08_职业工作与社会科技
1689,mercury,-,n.,水银；水星,中考考纲词汇,03_饮食烹饪与健康医疗
1690,mercy,-,n.,仁慈；宽容；怜悯,中考考纲词汇,01_个人家庭与人际交往
1691,merger,-,n.,合并；并归,中考考纲词汇,08_职业工作与社会科技
1692,merry,-,adj.,愉快的；欢乐的；微醉的,中考考纲词汇,10_情感态度与性质修饰
1693,mesmerize,-,v.,吸引；迷住,中考考纲词汇,09_核心行为与动作动词
1694,mess,-,n./v.,混乱，脏乱/弄乱,中考考纲词汇,09_核心行为与动作动词
1695,messenger,-,n.,邮递员；信使,中考考纲词汇,08_职业工作与社会科技
1696,metabolism,-,n.,新陈代谢,中考考纲词汇,08_职业工作与社会科技
1697,metal,-,n.,金属,中考考纲词汇,08_职业工作与社会科技
1698,meteorite,-,n.,陨石,中考考纲词汇,08_职业工作与社会科技
1699,meteorology,-,n.,气象学,中考考纲词汇,07_自然生态与天气动植物
1700,method,-,n.,方法,中考考纲词汇,08_职业工作与社会科技
1701,microbe,-,n.,微生物,中考考纲词汇,02_学校教育与学科学习
1702,microcomputer,-,n.,微型计算机,中考考纲词汇,08_职业工作与社会科技
1703,microphone,-,n.,麦克风；话筒,中考考纲词汇,07_自然生态与天气动植物
1704,microscope,-,n.,显微镜,中考考纲词汇,08_职业工作与社会科技
1705,midday,-,n.,正午；中午,中考考纲词汇,08_职业工作与社会科技
1706,midnight,-,n.,午夜；子夜；半夜,中考考纲词汇,08_职业工作与社会科技
1707,midst,-,n.,中部；中间,中考考纲词汇,08_职业工作与社会科技
1708,might,-,n.,力量，威力,中考考纲词汇,11_语法功能与数词介连词
1709,migrate,-,v.,迁徙；移居,中考考纲词汇,09_核心行为与动作动词
1710,mild,-,adj.,温和的；不严重的,中考考纲词汇,07_自然生态与天气动植物
1711,military,-,adj.,军事的，军用的,中考考纲词汇,10_情感态度与性质修饰
1712,milk,-,n./v.,奶/挤奶,中考考纲词汇,03_饮食烹饪与健康医疗
1713,mill,-,n./v.,磨粉机；磨坊/碾碎；无目的地乱转,中考考纲词汇,09_核心行为与动作动词
1714,millennium,-,n.,一千年；千年期；千禧年,中考考纲词汇,08_职业工作与社会科技
1715,million,-,num.,百万；大量,中考考纲词汇,11_语法功能与数词介连词
1716,mimic,-,v.,模仿；戏仿,中考考纲词汇,09_核心行为与动作动词
1717,mind,-,n.,头脑；思维；思考能力；意见；记忆力,中考考纲词汇,03_饮食烹饪与健康医疗
1718,mine,-,n.,矿场；矿井；地雷,中考考纲词汇,11_语法功能与数词介连词
1719,mineral,-,n.,矿物；矿物质；矿场,中考考纲词汇,08_职业工作与社会科技
1720,miniature,-,adj./n.,微型的；很小的/微缩模型；微型画,中考考纲词汇,04_文体娱乐与节庆风俗
1721,minimal,-,adj.,最小的,中考考纲词汇,10_情感态度与性质修饰
1722,minimum,-,n.,最小值；最小限度,中考考纲词汇,08_职业工作与社会科技
1723,minister,-,n.,部长；大臣；公使,中考考纲词汇,08_职业工作与社会科技
1724,minor,-,n./adj.,[美]辅修科目。不严重的,中考考纲词汇,02_学校教育与学科学习
1725,mint,-,n./v.,薄荷；铸币厂/铸造（硬币）,中考考纲词汇,09_核心行为与动作动词
1726,minus,-,adj./prep.,负的；零以下的；减去,中考考纲词汇,11_语法功能与数词介连词
1727,minute,-,n./adj.,分；分钟；一会儿/细微的,中考考纲词汇,05_居家生活与服装购物
1728,miserable,-,adj.,极不愉快的；痛苦的,中考考纲词汇,03_饮食烹饪与健康医疗
1729,mishap,-,n.,小灾难,中考考纲词汇,08_职业工作与社会科技
1730,mislead,-,v.,误导，欺骗，使误入歧途,中考考纲词汇,09_核心行为与动作动词
1731,miss,-,v.,想念；未注意到,中考考纲词汇,09_核心行为与动作动词
1732,missile,-,n.,导弹；投掷物,中考考纲词汇,08_职业工作与社会科技
1733,mission,-,n.,使命；重要任务；传教团,中考考纲词汇,08_职业工作与社会科技
1734,missionary,-,n.,传教士,中考考纲词汇,08_职业工作与社会科技
1735,mist,-,n.,薄雾；水汽；使视线模糊的东西,中考考纲词汇,03_饮食烹饪与健康医疗
1736,mistake,-,n./v.,错误/误解,中考考纲词汇,09_核心行为与动作动词
1737,mistress,-,n.,女主人；情妇,中考考纲词汇,01_个人家庭与人际交往
1738,mitigate,-,v.,减轻；缓和,中考考纲词汇,09_核心行为与动作动词
1739,mixture,-,n.,混合物,中考考纲词汇,08_职业工作与社会科技
1740,moan,-,n./v.,呻吟；哀悼,中考考纲词汇,09_核心行为与动作动词
1741,mobile,-,adj.,可移动的；流动的,中考考纲词汇,10_情感态度与性质修饰
1742,mock,-,v./adj.,嘲笑；嘲弄/模拟的；假装的,中考考纲词汇,09_核心行为与动作动词
1743,mode,-,n.,模式；方式,中考考纲词汇,08_职业工作与社会科技
1744,model,-,n./v.,模型；模特/使模仿,中考考纲词汇,08_职业工作与社会科技
1745,moderate,-,adj./v.,适度的；温和的；中等的/使缓和,中考考纲词汇,07_自然生态与天气动植物
1746,modern,-,adj.,现代的；近代的,中考考纲词汇,10_情感态度与性质修饰
1747,modest,-,adj.,谦虚的；谦逊的,中考考纲词汇,10_情感态度与性质修饰
1748,modify,-,v.,稍作修改,中考考纲词汇,09_核心行为与动作动词
1749,module,-,n.,模块,中考考纲词汇,08_职业工作与社会科技
1750,moist,-,adj.,潮湿的；湿润的,中考考纲词汇,07_自然生态与天气动植物
1751,molecule,-,n.,分子,中考考纲词汇,05_居家生活与服装购物
1752,moment,-,n.,片刻；时刻,中考考纲词汇,08_职业工作与社会科技
1753,monitor,-,v./n.,监视；监听/监控器，监视器，班长,中考考纲词汇,09_核心行为与动作动词
1754,monk,-,n.,僧侣,中考考纲词汇,08_职业工作与社会科技
1755,monsoon,-,n.,季风；雨季,中考考纲词汇,07_自然生态与天气动植物
1756,monthly,-,adj./adv./n.,每月的/每月一次/月刊,中考考纲词汇,08_职业工作与社会科技
1757,monument,-,n.,纪念碑，历史古迹，典范,中考考纲词汇,02_学校教育与学科学习
1758,mood,-,n.,心情，情绪；气氛,中考考纲词汇,03_饮食烹饪与健康医疗
1759,mop,-,n./v.,拖把；用拖把擦,中考考纲词汇,09_核心行为与动作动词
1760,moral,-,adj./n.,道德上的；有道德的；morals 道德,中考考纲词汇,10_情感态度与性质修饰
1761,morphine,-,n.,吗啡,中考考纲词汇,08_职业工作与社会科技
1762,mortal,-,adj./n.,必死的；致命的/凡人；人类,中考考纲词汇,01_个人家庭与人际交往
1763,mortgage,-,v./n.,抵押（房屋、土地）借款/房贷,中考考纲词汇,05_居家生活与服装购物
1764,mortify,-,v.,使难堪；使羞愧,中考考纲词汇,09_核心行为与动作动词
1765,mosquito,-,n.,蚊子,中考考纲词汇,08_职业工作与社会科技
1766,motion,-,v.,做动作；示意,中考考纲词汇,09_核心行为与动作动词
1767,motivate,-,v.,激发；驱使,中考考纲词汇,09_核心行为与动作动词
1768,motive,-,n.,动机；缘由,中考考纲词汇,08_职业工作与社会科技
1769,motor,-,n./adj.,发动机/机动的,中考考纲词汇,10_情感态度与性质修饰
1770,mould,-,v./n.,浇铸；塑造/模子,中考考纲词汇,09_核心行为与动作动词
1771,mount,-,v./n.,渐渐增加；爬上；登上/山,中考考纲词汇,06_交通出行与地理旅游
1772,mountain,-,n.,山，山岳，高山,中考考纲词汇,06_交通出行与地理旅游
1773,mourn,-,v.,（因失去...而）哀痛；哀悼,中考考纲词汇,03_饮食烹饪与健康医疗
1774,mouse,-,n.,老鼠；鼠标,中考考纲词汇,08_职业工作与社会科技
1775,mouth,-,n.,口；嘴；河口,中考考纲词汇,03_饮食烹饪与健康医疗
1776,movement,-,n.,活动；运动；移动,中考考纲词汇,04_文体娱乐与节庆风俗
1777,movie,-,n.,电影,中考考纲词汇,04_文体娱乐与节庆风俗
1778,mow,-,v./n.,割，修剪/干草堆,中考考纲词汇,07_自然生态与天气动植物
1779,muddy,-,adj.,泥泞的；浑浊的,中考考纲词汇,10_情感态度与性质修饰
1780,muffle,-,v.,使（声音）减弱,中考考纲词汇,09_核心行为与动作动词
1781,mug,-,n.,大杯、马克杯,中考考纲词汇,07_自然生态与天气动植物
1782,multimedia,-,n.,多媒体,中考考纲词汇,08_职业工作与社会科技
1783,multiple,-,n./adj.,倍数。多样的，数量多的,中考考纲词汇,10_情感态度与性质修饰
1784,multiply,-,v.,乘；使相乘；使成倍增加；繁殖,中考考纲词汇,09_核心行为与动作动词
1785,mundane,-,adj.,平凡的；世俗的；世界的,中考考纲词汇,06_交通出行与地理旅游
1786,municipal,-,adj.,市政的，地方政府的,中考考纲词汇,06_交通出行与地理旅游
1787,murder,-,n./v.,谋杀,中考考纲词汇,09_核心行为与动作动词
1788,murmur,-,n./v.,低声说/咕哝；低语,中考考纲词汇,09_核心行为与动作动词
1789,muscle,-,n.,肌肉,中考考纲词汇,03_饮食烹饪与健康医疗
1790,museum,-,n.,博物馆,中考考纲词汇,06_交通出行与地理旅游
1791,mushroom,-,n./v.,蘑菇/呈蘑菇状扩散,中考考纲词汇,09_核心行为与动作动词
1792,musical,-,adj.,音乐的；悦耳的,中考考纲词汇,03_饮食烹饪与健康医疗
1793,mustard,-,n.,芥末、芥菜,中考考纲词汇,08_职业工作与社会科技
1794,mutation,-,n.,突变；变异,中考考纲词汇,08_职业工作与社会科技
1795,mute,-,adj./n.,缄默的；哑的；无声的/哑巴,中考考纲词汇,10_情感态度与性质修饰
1796,mutter,-,v.,低声低语；小声抱怨,中考考纲词汇,09_核心行为与动作动词
1797,mutton,-,n.,羊肉,中考考纲词汇,03_饮食烹饪与健康医疗
1798,mutual,-,adj.,相互的；彼此的；共同的,中考考纲词汇,10_情感态度与性质修饰
1799,mysterious,-,adj.,神秘的；不可思议的,中考考纲词汇,10_情感态度与性质修饰
1800,nail,-,n./v.,指甲；钉子；（用钉子）钉住,中考考纲词汇,03_饮食烹饪与健康医疗
1801,naive,-,adj.,天真的；幼稚的,中考考纲词汇,10_情感态度与性质修饰
1802,naked,-,adj.,裸体的；赤条条的,中考考纲词汇,10_情感态度与性质修饰
1803,nap,-,n.,小睡；绒毛,中考考纲词汇,08_职业工作与社会科技
1804,narrate,-,v.,讲（故事）；叙述,中考考纲词汇,09_核心行为与动作动词
1805,narrow,-,adj./n.,狭窄的；有极限的,中考考纲词汇,10_情感态度与性质修饰
1806,nasty,-,adj.,下流的；肮脏的；险恶的,中考考纲词汇,10_情感态度与性质修饰
1807,nation,-,n.,国家；民族；国民,中考考纲词汇,05_居家生活与服装购物
1808,native,-,adj./n.,本土的；本地人,中考考纲词汇,01_个人家庭与人际交往
1809,natural,-,adj.,自然的,中考考纲词汇,07_自然生态与天气动植物
1810,nature,-,n.,自然,中考考纲词汇,07_自然生态与天气动植物
1811,naughty,-,adj.,淘气的；顽皮的,中考考纲词汇,03_饮食烹饪与健康医疗
1812,naval,-,adj.,海军的,中考考纲词汇,10_情感态度与性质修饰
1813,navigate,-,v.,航行；横渡,中考考纲词汇,06_交通出行与地理旅游
1814,navigation,-,n.,航海；航行,中考考纲词汇,06_交通出行与地理旅游
1815,necessity,-,n.,必需品；必要,中考考纲词汇,08_职业工作与社会科技
1816,neck,-,n.,脖子；衣领；海峡,中考考纲词汇,03_饮食烹饪与健康医疗
1817,necklace,-,n.,项链,中考考纲词汇,05_居家生活与服装购物
1818,needle,-,n.,针,中考考纲词汇,03_饮食烹饪与健康医疗
1819,negative,-,adj.,怀疑的，消极的,中考考纲词汇,10_情感态度与性质修饰
1820,neglect,-,v./n.,忽视；忽略,中考考纲词汇,09_核心行为与动作动词
1821,negligible,-,adj.,可以忽略的；微不足道的,中考考纲词汇,03_饮食烹饪与健康医疗
1822,negotiate,-,v.,协商；谈判,中考考纲词汇,09_核心行为与动作动词
1823,negotiation,-,n.,谈判，协商,中考考纲词汇,08_职业工作与社会科技
1824,neighborhood,-,n.,街坊；居住区；周边地区,中考考纲词汇,08_职业工作与社会科技
1825,nephew,-,n.,侄子；外甥,中考考纲词汇,08_职业工作与社会科技
1826,nerve,-,n.,神经；紧张；焦虑,中考考纲词汇,08_职业工作与社会科技
1827,nest,-,n.,巢；窝；穴,中考考纲词汇,08_职业工作与社会科技
1828,network,-,n.,网络,中考考纲词汇,08_职业工作与社会科技
1829,neutral,-,adj.,中立的；中立国的,中考考纲词汇,10_情感态度与性质修饰
1830,new zealand,-,n.,新西兰,中考考纲词汇,06_交通出行与地理旅游
1831,niece,-,n.,侄女；外甥女,中考考纲词汇,08_职业工作与社会科技
1832,night,-,n.,夜；夜间；晚上；夜场,中考考纲词汇,08_职业工作与社会科技
1833,nightmare,-,n.,噩梦，梦魇,中考考纲词汇,08_职业工作与社会科技
1834,nobility,-,n.,高尚的品质；贵族,中考考纲词汇,05_居家生活与服装购物
1835,nocturnal,-,adj.,夜间活动的,中考考纲词汇,10_情感态度与性质修饰
1836,nominate,-,v.,报名；任命,中考考纲词汇,09_核心行为与动作动词
1837,norm,-,n.,标准；[~s]行为准则；规范,中考考纲词汇,08_职业工作与社会科技
1838,normal,-,adj.,正常的；正规的；规范的,中考考纲词汇,10_情感态度与性质修饰
1839,northeast,-,n./adj. Snow in October is nothing strange in northeast,China,中考考纲词汇,10_情感态度与性质修饰
1840,northwest,-,n./adj. There is a large hilly area in the,northwest,中考考纲词汇,10_情感态度与性质修饰
1841,nostalgia,-,n.,思乡之情；怀旧之情,中考考纲词汇,08_职业工作与社会科技
1842,notify,-,v.,通知，告知,中考考纲词汇,08_职业工作与社会科技
1843,notorious,-,adj.,名声狼藉的,中考考纲词汇,07_自然生态与天气动植物
1844,noun,-,n.,名词,中考考纲词汇,08_职业工作与社会科技
1845,nourish,-,v.,滋养；给...提供营养,中考考纲词汇,03_饮食烹饪与健康医疗
1846,novice,-,n.,新手,中考考纲词汇,03_饮食烹饪与健康医疗
1847,noxious,-,adj.,有害的,中考考纲词汇,10_情感态度与性质修饰
1848,nuance,-,n.,细微差别,中考考纲词汇,08_职业工作与社会科技
1849,nuclear,-,adj.,原子核的；核能的；核武器的,中考考纲词汇,08_职业工作与社会科技
1850,nuisance,-,n.,讨厌或麻烦的人或物,中考考纲词汇,01_个人家庭与人际交往
1851,numerate,-,adj.,识数的；有计算能力的,中考考纲词汇,10_情感态度与性质修饰
1852,nurse,-,n.,护士；保姆/狐狸,中考考纲词汇,03_饮食烹饪与健康医疗
1853,nursery,-,n./adj.,托儿所、托儿所的,中考考纲词汇,10_情感态度与性质修饰
1854,nut,-,n.,坚果、螺母,中考考纲词汇,08_职业工作与社会科技
1855,nutrient,-,n.,营养物质,中考考纲词汇,03_饮食烹饪与健康医疗
1856,nylon,-,n.,尼龙,中考考纲词汇,08_职业工作与社会科技
1857,oar,-,n./v.,桨/用桨划,中考考纲词汇,09_核心行为与动作动词
1858,oasis,-,n.,绿洲；宜人之地,中考考纲词汇,06_交通出行与地理旅游
1859,oath,-,n.,誓言；宣誓,中考考纲词汇,08_职业工作与社会科技
1860,obesity,-,n.,（过度）肥胖；肥胖症,中考考纲词汇,08_职业工作与社会科技
1861,obey,-,v.,服从；顺从,中考考纲词汇,09_核心行为与动作动词
1862,object,-,n./v.,物体；目标。反对,中考考纲词汇,09_核心行为与动作动词
